 course_id | professor_id | section_id |  array_agg  |                        array_agg                         |                        array_agg                         
-----------+--------------+------------+-------------+----------------------------------------------------------+----------------------------------------------------------
 CSCE_221  |       672529 |        500 | {F,M,W}     | {"08:00 AM","08:00 AM","08:00 AM"}                       | {"08:50 AM","08:50 AM","08:50 AM"}
 CSCE_221  |       672529 |        501 | {F,M,W}     | {"08:00 AM","08:00 AM","08:00 AM"}                       | {"08:50 AM","08:50 AM","08:50 AM"}
 CSCE_221  |       672529 |        502 | {F,M,W}     | {"08:00 AM","08:00 AM","08:00 AM"}                       | {"08:50 AM","08:50 AM","08:50 AM"}
 CSCE_221  |       672529 |        503 | {F,M,W}     | {"09:10 AM","09:10 AM","09:10 AM"}                       | {"10:00 AM","10:00 AM","10:00 AM"}
 CSCE_221  |       672529 |        504 | {F,M,W}     | {"09:10 AM","09:10 AM","09:10 AM"}                       | {"10:00 AM","10:00 AM","10:00 AM"}
 CSCE_221  |       672529 |        505 | {F,M,W}     | {"09:10 AM","09:10 AM","09:10 AM"}                       | {"10:00 AM","10:00 AM","10:00 AM"}
 CSCE_221  |       672529 |        506 | {F,M,R,T,W} | {"10:20 AM","10:20 AM","02:35 PM","02:35 PM","10:20 AM"} | {"11:10 AM","11:10 AM","03:25 PM","03:25 PM","11:10 AM"}
 CSCE_221  |       672529 |        507 | {F,M,R,T,W} | {"10:20 AM","10:20 AM","03:55 PM","03:55 PM","10:20 AM"} | {"11:10 AM","11:10 AM","04:45 PM","04:45 PM","11:10 AM"}
 CSCE_221  |       672529 |        508 | {F,M,R,T,W} | {"10:20 AM","10:20 AM","05:30 PM","05:30 PM","10:20 AM"} | {"11:10 AM","11:10 AM","06:20 PM","06:20 PM","11:10 AM"}
 CSCE_221  |       672529 |        509 | {F,M,R,T,W} | {"10:20 AM","10:20 AM","06:40 PM","06:40 PM","10:20 AM"} | {"11:10 AM","11:10 AM","07:30 PM","07:30 PM","11:10 AM"}
 CSCE_221  |      2188757 |        597 | {R,T}       | {"05:30 PM","05:30 PM"}                                  | {"06:20 PM","06:20 PM"}
 CSCE_221  |      2188757 |        598 | {R,T}       | {"03:55 PM","03:55 PM"}                                  | {"04:45 PM","04:45 PM"}
 CSCE_221  |      2188757 |        599 | {R,T}       | {"02:35 PM","02:35 PM"}                                  | {"03:25 PM","03:25 PM"}
 CSCE_221  |      3099372 |        550 | {W,F,M}     | {"09:10 AM","09:10 AM","09:10 AM"}                       | {"10:00 AM","10:00 AM","10:00 AM"}
 CSCE_312  |       673362 |        500 | {M,R,T,W}   | {"08:00 AM","09:35 AM","09:35 AM","08:00 AM"}            | {"08:50 AM","10:50 AM","10:50 AM","08:50 AM"}
 CSCE_312  |       673362 |        501 | {M,R,T,W}   | {"09:10 AM","09:35 AM","09:35 AM","09:10 AM"}            | {"10:00 AM","10:50 AM","10:50 AM","10:00 AM"}
 CSCE_312  |       673362 |        502 | {R,M,T,W}   | {"09:35 AM","10:20 AM","09:35 AM","10:20 AM"}            | {"10:50 AM","11:10 AM","10:50 AM","11:10 AM"}
 CSCE_312  |       673362 |        503 | {M,R,T,W}   | {"11:30 AM","09:35 AM","09:35 AM","11:30 AM"}            | {"12:20 PM","10:50 AM","10:50 AM","12:20 PM"}
 CSCE_312  |      1636277 |        597 | {W,M}       | {"10:20 AM","10:20 AM"}                                  | {"11:10 AM","11:10 AM"}
 CSCE_312  |      1636277 |        598 | {M,W}       | {"09:10 AM","09:10 AM"}                                  | {"10:00 AM","10:00 AM"}
 CSCE_312  |      1636277 |        599 | {M,W}       | {"08:00 AM","08:00 AM"}                                  | {"08:50 AM","08:50 AM"}
 CSCE_312  |      2940855 |        550 | {T,F,W,M,R} | {"12:45 PM","01:50 PM","01:50 PM","01:50 PM","12:45 PM"} | {"01:35 PM","02:40 PM","02:40 PM","02:40 PM","01:35 PM"}
 CSCE_314  |       487444 |        598 | {R}         | {"06:00 PM"}                                             | {"07:00 PM"}
 CSCE_314  |       487444 |        599 | {R}         | {"06:00 PM"}                                             | {"07:00 PM"}
 CSCE_314  |      2938936 |        550 | {R,T}       | {"02:20 PM","02:20 PM"}                                  | {"03:35 PM","03:35 PM"}
 CSCE_314  |      3103405 |        200 | {M,F,W}     | {"03:00 PM","03:00 PM","03:00 PM"}                       | {"03:50 PM","03:50 PM","03:50 PM"}
 CSCE_314  |      3103405 |        500 | {F,M,W}     | {"03:00 PM","03:00 PM","03:00 PM"}                       | {"03:50 PM","03:50 PM","03:50 PM"}
(27 rows)

